year_from|year_to|predecessor|successor|polity_new_ID|polity_old_ID|polity_long_form_name|conflict_name|contested|overturn|predecessor_assassination|intra_elite|military_revolt|popular_uprising|separatist_rebellion|external_invasion|external_interference
470|475|Skanda-Gupta|Kumara-Gupta II|in_gupta_emp|InGupta|Gupta Empire||A|A|A|A|A|A|A|A|A
470|488|Kassapa|Mogallana|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|P|A|A|A|A|A
471|499|Xiaowen of Northern Wei (Tuoba Hong, Hsiao Wen Ti)|Xuanwu of Northern Wei (Yuan Ke, Hsuan Wu Ti)|cn_northern_wei_dyn|CnNWei*|Northern Wei|None|A|A|A|A|A|A|A|A|A
472|477|Emperor Houfei (Liu Yu, Latter Deposed Emperor of Liu Song)|Emperor Shun of (Liu) Song (Liu Zhun)|cn_western_jin_dyn|CnErJin|Western Jin|None|A|P|P|P|A|A|A|A|A
473|474|Olybrius|Julius Nepos|it_western_roman_emp|ItRomWe|Western Roman Empire - Late Antiquity|None|P|P|A|A|P|A|A|A|A
474|474|Leo II, the Small|Zeno the Isaurian|tr_east_roman_emp|TrERom*|East Roman Empire|None|P|SU|SU|P|SU|P|A|A|A
474|475|Julius Nepos|Romulus Augustus|it_western_roman_emp|ItRomWe|Western Roman Empire - Late Antiquity|None|P|P|A|A|IP|IA|IA|IP|P
474|475|Zeno the Isaurian|Basiliscus|tr_east_roman_emp|TrERom*|East Roman Empire|Conspiracy of Verina; Revolt of Basiliscus|P|P|A|P|P|P|A|A|A
475|476|Romulus Augustus|Odovacar|it_western_roman_emp|ItRomWe|Western Roman Empire - Late Antiquity|None|P|P|A|A|P|A|A|P|A
475|476|Basiliscus|Zeno the Isaurian|tr_east_roman_emp|TrERom*|East Roman Empire|None|P|P|IP|SU|IP|A|IP|A|A
475|500|Kumara-Gupta II|Budha-Gupta|in_gupta_emp|InGupta|Gupta Empire||A|A|A|A|A|A|A|A|A
476|491|Zeno the Isaurian|Anastasius I|tr_east_roman_emp|TrERom*|East Roman Empire|Revolt of Marcian; Conspiracy of Ariadne against Illus; Revolt of Leontius; Revolt of Theodoric; Revolt of Samaritans in Samaria|P|A|A|P|P|P|A|A|A
476|493|Odovacar|Theodoric|it_italy_k|ItRomLA|Italian Kingdom Late Antiquity|None|P|P|P|A|A|A|A|A|IP
477|479|Emperor Shun of (Liu) Song (Liu Zhun)|Xiao Daocheng - Emperor Gao of Southern Qi (end of Liu dynasty)|cn_western_jin_dyn|CnErJin|Western Jin|None|A|P|P|P|A|A|A|A|A
482|511|Chlodovech (Clovis) I|Childebert I|fr_merovingian_emp_1|FrMervE|Early Merovingian|None|A|A|A|IA|IA|IA|IA|IA|IA
484|488|Balash|Kavad I|ir_sassanid_emp_1|IrSasn1|Sasanid Empire I|None|P|P|SU|P|A|A|A|A|A
485|492|Yujiulü Doulun|Yujiulü Nagai|mn_rouran_khaganate|MnRourn|Rouran Khaganate|None|P|P|P|P|A|A|A|A|A
486|508|"Chak Tok Ich'aak II (""Jaguar Paw Skull"")"|"Ix Kalo'mte' Ix Yo K'in (""Lady of Tikal""), Co-ruled with Kaloomte' B'alam (""Curl-Head"")"|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|A|A|A|A|A|A|A|A|A
488|497|Kavad I|Zamasp|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|A|P|A|A|A|A|A
488|506|Mogallana|Kumara Dass|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|A|A|A|A|A|A
489|494|Yūryaku|Seinei|jp_kofun|JpKofun|Kansai - Kofun Period|None|P|SU|SU|P|SU|SU|SU|SU|SU
490|526|Theodoric|Athalaric|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|None|A|A|A|A|A|A|A|A|A
490|530|Toramana |Mihirakula|af_hephthalite_emp|AfHepht|Hephthalites||SU|SU|SU|SU|SU|SU|SU|SU|
491|518|Anastasius I|Justin I|tr_east_roman_emp|TrERom*|East Roman Empire|Riots in Constantinople; Isaurian War; Circus Riots in Constantinople|P|A|A|P|SU|A|A|A|A
492|506|Yujiulü Nagai|Yujiulü Futu|mn_rouran_khaganate|MnRourn|Rouran Khaganate|None|A|A|A|A|A|A|A|A|A
494|497|Seinei|Kenzō|jp_kofun|JpKofun|Kansai - Kofun Period|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
497|499|Zamasp|Kavad I|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|SU|P|A|A|A|A|P
497|504|Kenzō|Ninken|jp_kofun|JpKofun|Kansai - Kofun Period|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
499|515|Xuanwu of Northern Wei (Yuan Ke, Hsuan Wu Ti)|Xiaoming of Northern Wei (Yuan Xu, Hsiao Ming Ti)|cn_northern_wei_dyn|CnNWei*|Northern Wei|None|A|A|A|A|A|A|A|A|A
499|531|Kavad I|Khusrau I, Anushirvan|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|A|A|P|A|A|A|A|A
500|507|Budha-Gupta|Vainya-Gupta|in_gupta_emp|InGupta|Gupta Empire||A|A|A|A|A|A|A|A|A
504|510|Ninken|Buretsu|jp_kofun|JpKofun|Kansai - Kofun Period|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
506|508|Yujiulü Futu|Yujiulü Chounu|mn_rouran_khaganate|MnRourn|Rouran Khaganate|None|P|A|P|A|A|A|A|P|A
506|515|Kumara Dass|Kirti Sena|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||P|P|A|A|A|A|A|A|A
507|520|Vainya-Gupta|Banhu-Gupta|in_gupta_emp|InGupta|Gupta Empire||A|A|A|A|A|A|A|A|A
508|520|Yujiulü Chounu|Yujiulü Poluomen|mn_rouran_khaganate|MnRourn|Rouran Khaganate|None|P|P|P|P|P|A|A|P|A
510|527|Buretsu|Keitai|jp_kofun|JpKofun|Kansai - Kofun Period|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
511|527|"Ix Kalo'mte' Ix Yo K'in (""Lady of Tikal""), Co-ruled with Kaloomte' B'alam (""Curl-Head"")"|"Bird Claw (""Animal Skull I"", ""Ete I"")"|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
511|558|Childebert I|Chlothar I|fr_merovingian_emp_1|FrMervE|Early Merovingian|None|A|A|A|IA|IA|IA|IA|IA|IA
515|515|Kirti Sena|Siwaka|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||P|P|P|P|A|A|A|A|A
515|515|Siwaka|Upatissa III|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||P|A|P|P|A|A|A|A|A
515|517|Upatissa III|Ambasamanera Silaka|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|P|A|A|A|A|A
515|528|Xiaoming of Northern Wei (Yuan Xu, Hsiao Ming Ti)|Xiaozhuang of Northern Wei (Yuan Ziyou, Lin t’ai Wang)|cn_northern_wei_dyn|CnNWei*|Northern Wei|None|A|P|P|P|A|A|A|A|A
517|530|Ambasamanera Silaka|Dathapabhuti|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||P|P|A|P|A|A|A|A|A
518|527|Justin I|Justinian I, the Great|tr_east_roman_emp|TrERom*|East Roman Empire|None|A|IA|IA|A|A|A|A|A|A
520||Banhu-Gupta|Narasimhagupta|in_gupta_emp|InGupta|Gupta Empire||IA|IA|IA|IA|IA|IA|IA|IA|IA
521|524|Yujiulü Poluomen|Yujiulü Anagui|mn_rouran_khaganate|MnRourn|Rouran Khaganate|None|P|P|P|A|P|A|A|P|P
522|552|Yujiulü Anagui|Yujiulü Dengshuzi (West) and Yujiulü Tiefa (East)|mn_rouran_khaganate|MnRourn|Rouran Khaganate|None|P|A|IA|A|A|A|A|P|A
526|534|Athalaric|Amalasuintha|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|None|P|A|A|P|A|A|A|A|A
527|535|Keitai|Ankan|jp_kofun|JpKofun|Kansai - Kofun Period|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
527|537|"Bird Claw (""Animal Skull I"", ""Ete I"")"|"Wak Chan K'awiil (""Double-Bird"")"|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|IP|IP|SU|IP|SU|SU|SU|SU|SU
527|565|Justinian I, the Great|Justin II|tr_east_roman_emp|TrERom*|East Roman Empire|Nika Riots in Constantinople; Mutiny in Carthage; Samaritan Insurrection in Samaria; Persecution of Manichaeans by Justinian; Conspiracy against Justinian I; Tarsus Protests; Lazica Revolt|P|A|A|P|A|A|A|A|A
527|565|Justinian I, the Great|Justin II|tr_east_roman_emp|TrERom*|East Roman Empire|Samaritan Insurrection in Samaria|P|A|A|P|A|A|A|A|A
528|530|Xiaozhuang of Northern Wei (Yuan Ziyou, Lin t’ai Wang)|Yuan Ye, Prince of Changguang (Hsiao Chuang Ti)|cn_northern_wei_dyn|CnNWei*|Northern Wei|None|P|P|P|P|A|A|A|A|A
530|530|Yuan Ye, Prince of Changguang (Hsiao Chuang Ti)|Jiemin of Northern Wei (Yuan Gong, Chieh Min ti)|cn_northern_wei_dyn|CnNWei*|Northern Wei|None|P|P|P|P|A|A|A|A|A
530|530|Dhatapabhuti|Mogallana|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|P|A|A|A|A|A
530|531|Jiemin of Northern Wei (Yuan Gong, Chieh Min ti)|Xiaowu of Northern Wei (Yuan Xiu, Emperor Chu after his reign, Hsiao Wu Ti)|cn_northern_wei_dyn|CnNWei*|Northern Wei|None|P|P|P|P|A|A|A|A|A
530|550|Mogallana|Kirti Sirimeg'ha|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||P|P|A|P|A|A|A|A|A
530||Mihirakula (?)|Pravarasena|af_hephthalite_emp|AfHepht|Hephthalites||SU|SU|SU|SU|SU|SU|SU|SU|
531|536|Ankan|Senka|jp_kofun|JpKofun|Kansai - Kofun Period|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
531|579|Khusrau I, Anushirvan|Hormizd IV|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|A|A|A|A|A|A|A|A|A
532|535|Xiaowu of Northern Wei (Yuan Xiu, Emperor Chu after his reign, Hsiao Wu Ti)|End of dynasty - Northern We split into Eastern Wei (ruled by Emperor Xiaojing) and Western Wei (ruled by Emperor Wen)|cn_northern_wei_dyn|CnNWei*|Northern Wei|None|P|P|A|P|P|A|P|A|A
534|535|Amalasuintha|Theodahad|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|None|P|P|P|P|A|A|A|P|A
534|536|Theodahad|Witigis|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|Gothic Wars (535-554)|P|P|P|P|A|A|A|P|A
536|539|Senka|Kinmei|jp_asuka|JpAsuka|Asuka|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
536|540|Witigis|Hildibadus|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|Gothic Wars (535-554)|P|IP|A|P|A|A|A|A|A
537|562|"Wak Chan K'awiil (""Double-Bird"")"|"Lizard Head II (""Animal Skull"")"|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|P|P|P|SU|SU|SU|SU|P|SU
539|571|Kinmei|Bidatsu|jp_asuka|JpAsuka|Asuka|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
540|541|Hildibadus|Totila|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|Gothic Wars (535-554)|P|P|P|P|A|A|A|A|A
541|552|Totila|Teias|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|Gothic Wars (535-554)|P|P|A|A|A|A|A|P|A
550|550|Kirti Sirimeg'ha|Mahanaga|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|P|P|A|A|A|A|A
550|553|Mahanaga|Aggabodhi I|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|A|A|A|A|A|A
550|575|Simhavarman|Simhavishnu|in_pallava_emp_2|in_pallava_emp_2|Late Pallava Empire|Unknown|SU|SU|SU|SU|SU|SU|SU|SU|SU
552|552|Teias|Justinian I, the Great|it_ostrogoth_k|ItOstrg|Ostrogothic Kingdom|Nika Riots in Constantinople; Mutiny in Carthage; Samaritan Insurrection in Samaria; Persecution of Manichaeans by Justinian; Conspiracy against Justinian I; Tarsus Protests; Lazica Revolt|P|A|A|P|A|A|A|A|A
553|587|Aggabodhi I|Aggabodhi II|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|A|A|A|A|A|A
558|561|Chlothar I|Charibert I|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|A|A|A|A|A|A|IA|IA|IA
561|567|Charibert I|Chilperic I|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|P|A|A|P|IA|IA|IA|P|IA
561|584|Chilperic I|Chlothar II|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|P|P|P|A|IA|IA|IA|P|IP
562|593|"Lizard Head II (""Animal Skull"")"|23rd Ruler|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
565|572|Alboin|Cleph|it_lombard_k|ItLombr|Lombard Kingdom||A|P|P|P|A|A|A|A|A
565|578|Justin II|Tiberius II|tr_east_roman_emp|TrERom*|East Roman Empire|None|P|A|A|A|A|A|A|P|A
565|578|Justin II|Tiberius II Constantine|tr_east_roman_emp|TrERom*|East Roman Empire|Samaritan Insurrection in Samaria|P|A|A|P|A|A|A|A|A
572|574|Cleph|Lombard Dukes|it_lombard_k|ItLombr|Lombard Kingdom||A|P|P|P|A|A|A|A|A
572|585|Bidatsu|Yōmei|jp_asuka|JpAsuka|Asuka|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
574|584|Lombard Dukes|Authari|it_lombard_k|ItLombr|Lombard Kingdom||A|A|A|A|A|A|A|A|A
575|600|Simhavishnu|Mahendravarman I|in_pallava_emp_2|in_pallava_emp_2|Late Pallava Empire||P|P|SU|SU|SU|SU|SU|P|SU
578|582|Tiberius II Constantine|Maurice|tr_east_roman_emp|TrERom*|East Roman Empire|Conspiracy of Sophia; Assassination of Tiberius II Constantine|A|IA|IA|A|A|A|A|A|A
578|584|Tiberius II|Decius|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|A|A|A|A|A|P|A
579|590|Hormizd IV|Khusrau II|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|P|P|A|A|A|A
581|604|Wen of Sui (Yang Jian, Wen Ti)|Yang of Sui (Yang Guang, Yang Ti)|cn_sui_dyn|CnSui**|Sui Dynasty|None|A|P|DIS|DIS|A|A|A|A|A
582|602|Maurice|Phocas|tr_east_roman_emp|TrERom*|East Roman Empire|Mutiny during War against Persia; Revolt of Phocas|P|P|P|P|P|IP|A|A|A
584|585|Decius|Smaragdus|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|A|A|A|A|A|P|A
584|590|Authari|Agilulf|it_lombard_k|ItLombr|Lombard Kingdom||A|A|A|A|A|A|A|A|A
584|629|Chlothar II|Dagobert I|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|P|A|A|A|IA|IA|IA|P|IP
585|587|Yōmei|Sushun|jp_asuka|JpAsuka|Asuka|None|SU|IA|IA|IA|IA|IA|IA|IA|IA
585|589|Smaragdus|Romanus|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|A|A|A|A|A|P|A
587|592|Sushun|Empress Suiko|jp_asuka|JpAsuka|Asuka|None|IA|P|P|P|A|A|A|A|A
587|597|Aggabodhi II|Sanghatissa|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||P|P|A|A|A|A|A|A|A
589|596|Romanus|Callinicus|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|A|A|A|A|A|P|A
590|590|Khusrau II|Bahram VI|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|A|P|P|A|A|A|A
590|591|Bahram VI|Khusrau II|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|P|A|A|A|A|P
590|615|Agilulf|Adaloald|it_lombard_k|ItLombr|Lombard Kingdom||A|A|A|A|A|A|A|A|A
590|620|Kandugon|Marvarman Avanishulmani|in_pandya_emp_2|in_pandya_emp_2|Pandya Dynasty||A|A|A|A|A|A|A|A|A
590|628|Khusrau II|Kavad II, Shiroe|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|P|P|A|A|A|A
593|628|Empress Suiko|Jomei|jp_asuka|JpAsuka|Asuka|None|P|P|P|P|A|A|A|A|A
596|603|Callinicus|Smaragdus|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|A|A|A|A|A|P|A
597|597|Sanghatissa|Mogallana|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|P|P|A|A|A|A|A
597|603|Mogallana||sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|P|A|A|A|A|A
600|630|Mahendravarman I|Narsimhavarman I|in_pallava_emp_2|in_pallava_emp_2|Late Pallava Empire||P|P|SU|SU|SU|SU|SU|P|SU
602|610|Phocas|Heraclius|tr_east_roman_emp|TrERom*|East Roman Empire|Revolt of Narses; Revolt of Heraclius in Africa; Riots in Syria and Palestine|P|P|P|P|P|P|A|A|A
603|608|Smaragdus|John I|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|P|A|P|A|A|A|A|A
603|612|Silameghavarna|Aggabodhi III|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||A|A|A|A|A|A|A|A|A
604|617|Yang of Sui (Yang Guang, Yang Ti)|Gong of Sui (Yang You, Kung Ti)|cn_sui_dyn|CnSui**|Sui Dynasty|None|P|P|P|P|P|P|A|A|A
606|619|Shashanka|Jayanaga?|in_gauda_k|BdGauda|Gauda Kingdom||SU|SU|SU|SU|SU|SU|SU|SU|SU
608|616|John I|Eleutherius|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|A|A|A|P|P|A|A
610|641|Heraclius|Constantine III|tr_east_roman_emp|TrERom*|East Roman Empire|Revolt of Eleutherius the Exarch of Ravenna; Plot of John Athalarichos; Revolt of Valentinus|A|A|A|A|A|A|A|A|A
612|613|Aggabodhi III|Jetthatissa|sl_anuradhapura_3|sl_anuradhapura_3|Anurādhapura III||P|P|A|P|A|A|A|A|A
615|626|Adaloald|Arioald|it_lombard_k|ItLombr|Lombard Kingdom||A|A|A|A|A|A|A|A|A
616|619|Eleutherius|Isaac|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|P|A|P|A|A|A|A
617|618|Gong of Sui (Yang You, Kung Ti)|Emperor Gaozu of Tang (Kao Tsu, Li Yuan) - end of the Sui dynasty.|cn_sui_dyn|CnSui**|Sui Dynasty|None|P|P|P|P|A|A|A|A|A
618|626|Emperor Gaozu of Tang (Kao Tsu, Li Yuan) - start of Tang dynasty|Taizong of Tang (Li Shimin, T’ai Tsung)|cn_tang_dyn_1|CnTangE|Tang Dynasty I|None|A|P|A|P|A|A|A|A|A
619||Jayanaga?|end of dynasty/polity|in_gauda_k|BdGauda|Gauda Kingdom||SU|SU|SU|SU|SU|SU|SU|P|SU
620|645|Marvarman Avanishulmani|Jayantvarman|in_pandya_emp_2|in_pandya_emp_2|Pandya Dynasty||U|U|U|U|U|U|U|U|U
625|643|Isaac|Theodore I Calliopas|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|P|A|DIS|A|P|A|A|P|A
626|636|Arioald|Rothari|it_lombard_k|ItLombr|Lombard Kingdom||A|A|A|A|A|A|A|A|A
626|649|Taizong of Tang (Li Shimin, T’ai Tsung)|Gaozong of Tang (Li Zhi, Kao Tsung)|cn_tang_dyn_1|CnTangE|Tang Dynasty I|None|A|A|A|A|A|A|A|A|A
628|628|Kavad II, Shiroe|Ardashir III|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|IA|IA|IA|P|A|A|A|A|A
628|630|Ardashir III|Shahrbaraz|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|A|P|A|A|A|A
629|639|Dagobert I|Chlodovech (Clovis) II|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|A|A|A|IA|IA|IA|IA|IA|IA
629|641|Jomei|Empress Kōgyoku (later Saimei)|jp_asuka|JpAsuka|Asuka|None|A|A|A|A|A|A|A|A|A
630|630|Shahrbaraz|Boran (Queen)|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|P|IA|IA|IA|IA|IA
630|631|Boran (Queen)|Azarmedukht|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|P|P|IA|IA|IA|IA
630|668|Narsimhavarman I|Mahendravarman II|in_pallava_emp_2|in_pallava_emp_2|Late Pallava Empire||P|P|SU|SU|SU|SU|SU|SU|SU
631|631|Azarmedukht|Boran (Queen)|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|P|P|A|A|A|A
631|632|Boran (Queen)|Yazdgard III|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|P|P|A|A|A|A
632|634|Abu Bakr|Umar|sa_rashidun_dyn|SaRashd|Yemen Hijaz|Expulsion of Jews from Khaibar; Rebellion in the Egyptian Delta; Revolt of al-As in Egypt|A|A|A|A|A|A|A|A|A
632|651|Yazdgard III|end of polity|ir_sassanid_emp_2|IrSasn2|Sasanid Empire II|None|P|P|P|A|A|A|A|A|A
634|644|Umar|Uthman|sa_rashidun_dyn|SaRashd|Yemen Hijaz|Expulsion of Jews from Khaibar; Rebellion in the Egyptian Delta; Revolt of al-As in Egypt|P|P|P|P|P|A|A|A|A
635|635|23rd Ruler|24th Ruler|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
636|652|Rothari|Radoald|it_lombard_k|ItLombr|Lombard Kingdom||A|A|A|A|A|A|A|A|A
639|657|Chlodovech (Clovis) II|Chlothar III|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|A|IA|IA|IA|IA|IA|IA|IA|IA
641|641|Heraclonas|Constans II, Pogonatus (or Heraclius)|tr_byzantine_emp_1|TrByzM1|Byzantine Empire I|None|P|P|A|P|SU|P|A|A|A
641|641|Constantine III|Heraclonas|tr_byzantine_emp_1|TrByzM1|Byzantine Empire I|None|A|A|A|A|A|A|A|A|A
641|668|Constans II, Pogonatus (or Heraclius)|Constantine IV|tr_byzantine_emp_1|TrByzM1|Byzantine Empire I|None|P|P|P|P|IP|A|A|A|A
642|645|Empress Kōgyoku (later Saimei)|Kōtoku|jp_asuka|JpAsuka|Asuka|None|P|A|A|P|A|A|A|A|A
643|645|Theodore I Calliopas|Plato|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|A|A|A|A|A|A|A|A|A
644|656|Uthman|Ali|sa_rashidun_dyn|SaRashd|Yemen Hijaz|None|P|P|P|P|P|P|P|A|A
645|645|24th Ruler|"Nuun Ujol Chaak (""Shield Skull"")"|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
645|649|Plato|Olympius|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|A|A|A|A|A|A|A|A|A
645|654|Kōtoku|Empress Saimei (formally Kōgyoku)|jp_asuka|JpAsuka|Asuka|None|P|A|A|P|A|A|A|A|A
645|670|Jayantvarman|Arikesri Marvarman|in_pandya_emp_2|in_pandya_emp_2|Pandya Dynasty||U|U|U|U|U|U|U|U|U
649|683|Gaozong of Tang (Li Zhi, Kao Tsung)|Zhongzong of Tang (Liu Xiu)|cn_tang_dyn_1|CnTangE|Tang Dynasty I|None|P|A|A|A|A|A|A|A|A
652|652|Radoald|Aripert I|it_lombard_k|ItLombr|Lombard Kingdom||P|P|P|P|A|A|A|A|A
652|653|Olympius|Theodore I Calliopas|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
652|661|Aripert I|Perctarit and Godepert|it_lombard_k|ItLombr|Lombard Kingdom||A|P|P|P|A|A|A|A|A
653|666|Theodore I Calliopas|Gregory|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
655|661|Empress Saimei (formally Kōgyoku)|Tenji|jp_asuka|JpAsuka|Asuka|None|A|A|A|A|A|A|A|A|A
656|661|Ali|Muawiya I|sa_rashidun_dyn|SaRashd|Yemen Hijaz|None|IP|P|P|P|A|A|A|A|A
657|673|Chlothar III|Theuderic III|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|A|IA|IA|IA|IA|IA|IA|IA|IA
657|679|"Nuun Ujol Chaak (""Shield Skull"")"|Jasaw Chan K'awiil I (Ruler A or Ah Cacao)|gt_tikal_early_classic|gt_tikal_early_classic|Early Classic Tikal|None|SU|SU|IP|SU|SU|SU|SU|SU|SU
661|662|Perctarit and Godepert|Grimoald I|it_lombard_k|ItLombr|Lombard Kingdom||P|P|P|P|A|A|A|A|A
661|672|Tenji|Temmu|jp_asuka|JpAsuka|Asuka|None|P|P|P|P|A|A|A|A|A
661|680|Muawiya I|Yazid I|sy_umayyad_cal|SyCalUm|Umayyad Caliphate|None|P|A|A|P|P|A|A|A|A
662|672|Grimoald I|Garibald|it_lombard_k|ItLombr|Lombard Kingdom||A|P|P|P|A|A|A|A|A
666|678|Gregory|Theodore II|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
668|670|Mahendravarman II|Parmeshvarvarman I|in_pallava_emp_2|in_pallava_emp_2|Late Pallava Empire||SU|SU|A|SU|U|U|A|A|SU
668|685|Constantine IV|Justinian II, Rhinotmetus|tr_byzantine_emp_1|TrByzM1|Byzantine Empire I|None|A|A|A|A|A|A|A|A|A
670|700|Parmeshvarvarman I|Narsimhavarman II|in_pallava_emp_2|in_pallava_emp_2|Late Pallava Empire||P|P|SU|SU|SU|SU|SU|P|P
670|700|Arikesari Marvarman|Kochchddaiyan Randhir|in_pandya_emp_2|in_pandya_emp_2|Pandya Dynasty||P|A|A|U|A|A|A|P|P
672|672|Garibald|Perctarit|it_lombard_k|ItLombr|Lombard Kingdom||IP|IP||IP|A|A|A|A|A
672|686|Temmu|Jitō|jp_asuka|JpAsuka|Asuka|None|A|A|A|A|A|A|A|A|A
672|688|Perctarit|Cunincpert|it_lombard_k|ItLombr|Lombard Kingdom||A|A|A|A|A|A|A|A|A
673|673|Theuderic III|Childeric II|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|P|P|A|P|A|A|IA|IA|IA
673|675|Childeric II|Theuderic III|fr_merovingian_emp_2|FrMervM|Middle Merovingian|Battle of Lucofao|P|P|P|IA|IP|IA|IA|IP|IP
675|690|Theuderic III|Chlodovech (Clovis) IV|fr_merovingian_emp_2|FrMervM|Middle Merovingian|None|A|IA|IA|IA|IA|IA|IA|IA|IA
678|687|Theodore II|John II Platyn|it_ravenna_exarchate|ItRav**|Exarchate of Ravenna|None|A|A|A|A|A|A|A|A|A
680|683|Yazid I|Abd Al-Zubayr|sy_umayyad_cal|SyCalUm|Umayyad Caliphate|None|P|A|A|P|A|A|A|A|A
