SourcePolityLongName,SuccessorPolityLongName,SourcePolityID,SuccessorPolityID,SuccessionType,Rationale,Citation,ChainOfThought,ModelID,ModelFingerprint,ModelTimestamp
Egypt - Inter-Occupation Period,Achaemenid Empire,eg_inter_occupation,ir_achaemenid_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Kushite Period,Egypt - Saite Period,eg_kushite,eg_saite,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Late Old Kingdom,Egypt - Period of the Regions,eg_old_k_2,eg_regions,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Mamluk Sultanate I,Egypt - Mamluk Sultanate II,eg_mamluk_sultanate_1,eg_mamluk_sultanate_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Mamluk Sultanate II,Egypt - Mamluk Sultanate III,eg_mamluk_sultanate_2,eg_mamluk_sultanate_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Mamluk Sultanate III,Ottoman Empire II,eg_mamluk_sultanate_3,tr_ottoman_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Middle Kingdom,Egypt - Thebes-Hyksos Period,eg_middle_k,eg_thebes_hyksos,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - New Kingdom Ramesside Period,Egypt - Thebes-Libyan Period,eg_new_k_2,eg_thebes_libyan,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - New Kingdom Thutmosid Period,Egypt - New Kingdom Ramesside Period,eg_new_k_1,eg_new_k_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Period of the Regions,Egypt - Middle Kingdom,eg_regions,eg_middle_k,territorial consolidation,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Saite Period,Achaemenid Empire,eg_saite,ir_achaemenid_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Thebes-Hyksos Period,Egypt - New Kingdom Thutmosid Period,eg_thebes_hyksos,eg_new_k_1,territorial consolidation,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Thebes-Libyan Period,Egypt - Kushite Period,eg_thebes_libyan,eg_kushite,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Egypt - Tulunid-Ikhshidid Period,Fatimid Caliphate,eg_thulunid_ikhshidid,tn_fatimid_cal,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Awan Dynasty I,Elam - Shimashki Period,ir_elam_1,ir_elam_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Crisis Period,Elam I,ir_elam_8,ir_neo_elam_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Early Sukkalmah,Elam - Late Sukkalmah,ir_elam_3,ir_elam_4,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Igihalkid Period,Elam - Shutrukid Period,ir_elam_6,ir_elam_7,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Kidinuid Period,Elam - Igihalkid Period,ir_elam_5,ir_elam_6,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Late Sukkalmah,Elam - Kidinuid Period,ir_elam_4,ir_elam_5,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Shimashki Period,Elam - Early Sukkalmah,ir_elam_2,ir_elam_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam - Shutrukid Period,Elam - Crisis Period,ir_elam_7,ir_elam_8,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam I,Elam II,ir_neo_elam_1,ir_neo_elam_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam II,Neo-Assyrian Empire,ir_neo_elam_2,iq_neo_assyrian_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elam III,Achaemenid Empire,ir_neo_elam_3,ir_achaemenid_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Electorate of Bavaria,,de_bavaria_1,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Electorate of Brandenburg,Brandenburg-Prussia,de_hohenzollern_1,de_hohenzollern_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Elymais II,Sasanid Empire I,ir_elymais_2,ir_sassanid_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Emirate of Afghanistan,Kingdom of Afghanistan,af_afghanistan_emirate,af_afghanistan_k,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Emirate of Córdoba,Cordoba Caliphate,es_cordoba_emirate,es_cordoba_cal,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Emirate of Harar,,et_harar_emirate,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Empire of Brazil,,br_brazil_emp,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Empire of Japan,Japan,jp_japanese_emp,jp_japan_contemporary,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Empire of Trebizond,Ottoman Empire I,tr_trebizond_emp,tr_ottoman_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
England Tudor-Stuart,British Empire I,gb_tudor_stuart,gb_british_emp_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Epiclassic Basin of Mexico,Toltecs,mx_basin_of_mexico_8,mx_toltec,territorial consolidation,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Erligang,Late Shang,cn_erligang,cn_late_shang_dyn,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Erlitou,Erligang,cn_erlitou,cn_erligang,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ethiopia Kingdom,Ethiopia Kingdom II,et_ethiopian_k,et_ethiopian_k_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ethiopia Kingdom II,Ethiopia Kingdom III,et_ethiopian_k_2,et_ethiopian_k_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ethiopia Kingdom III,,et_ethiopian_k_3,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Exarchate of Ravenna,Lombard Kingdom,it_ravenna_exarchate,it_lombard_k,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Exarchate of Ravenna,Republic of St Peter I,it_ravenna_exarchate,it_st_peter_rep_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Fatimid Caliphate,Ayyubid Sultanate,tn_fatimid_cal,eg_ayyubid_sultanate,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Fatimid Caliphate,Zirids,tn_fatimid_cal,tn_zirid_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Final Postpalatial Crete,Geometric Crete,gr_crete_post_palace_2,gr_crete_geometric,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Fipa,Germany - Hohenzollern Dynasty,tz_milansi_k,de_hohenzollern_3,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Five Dynasties Period,Northern Song,cn_five_dyn,cn_northern_song_dyn,territorial consolidation,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Five Dynasties Period,Khitan I,cn_five_dyn,mn_khitan_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Formative Period,Susiana - Muhammad Jaffar,ir_susiana_formative,ir_susiana_archaic,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Foys,Modern France I,ni_dahomey_k,fr_france_modern_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Freetown,British Empire I,si_freetown_1,gb_british_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
French Kingdom - Early Bourbon,French Kingdom - Late Bourbon,fr_bourbon_k_1,fr_bourbon_k_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
French Kingdom - Early Valois,French Kingdom - Late Valois,fr_valois_k_1,fr_valois_k_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
French Kingdom - Late Bourbon,Napoleonic France,fr_bourbon_k_2,fr_france_napoleonic,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
French Kingdom - Late Capetian,French Kingdom - Early Valois,fr_capetian_k_2,fr_valois_k_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
French Kingdom - Late Valois,French Kingdom - Early Bourbon,fr_valois_k_2,fr_bourbon_k_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Funan I,Funan II,kh_funan_1,kh_funan_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Funan II,Chenla,kh_funan_2,kh_chenla,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Funj Sultanate,,et_funj_sultanate,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Futa Jallon,Modern France I,gu_futa_jallon,fr_france_modern_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gahadavala Dynasty,Ghur Principality,in_gahadavala_dyn,af_ghur_principality,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Galicia-Volhynia Principality,Polish Kingdom - Piast Dynasty Fragmented Period,ua_galicia_volhynia_principality,pl_piast_dyn_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Galicia-Volhynia Principality,Grand Duchy of Lithuania,ua_galicia_volhynia_principality,lt_lithuania_grand_duc,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ganga Kingdom,,in_ganga_k,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gangaridai,,in_gangaridai,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ganzhou Kingdom,Xixia,cn_ganzhou_k,cn_xixia,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gauda Kingdom,Harsha's Empire,in_gauda_k,in_harsha_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Geometric Crete,Archaic Crete,gr_crete_geometric,gr_crete_archaic,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Germany - Hohenzollern Dynasty,Weimar Republic,de_hohenzollern_3,de_weimar_rep,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ghassanid Kingdom,Yemen Hijaz,jo_ghassanid_k,sa_rashidun_dyn,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ghaznavid Empire,Seljuk Sultanate,af_ghaznavid_emp,ir_seljuk_sultanate,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ghur Principality,Khwarezmid Empire,af_ghur_principality,tm_khwarezmid_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Ghur Principality,Delhi Sultanate,af_ghur_principality,in_delhi_sultanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gisaka,Kingdom of Nyinginya,rw_gisaka_k,Early Niynginya,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Goguryeo Kingdom,Tang Dynasty I,kr_goguryeo_k,cn_tang_dyn_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Goguryeo Kingdom,Balhae Kingdom,kr_goguryeo_k,kr_balhae_k,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Golden Horde,Crimean Khanate,ru_golden_horde,ru_crimean_khanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Golden Horde,Kazan Khanate,ru_golden_horde,ru_kazan_khanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Golden Horde,Astrakhan Khanate,ru_golden_horde,ru_astrakhan_khanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Golden Horde,Sibir Khanate,ru_golden_horde,ru_sibir_khanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Goryeo Kingdom,Mongol Empire,kr_goryeo_k,mn_mongol_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Grand Duchy of Lithuania,Poland-Lithuania Kingdom,lt_lithuania_grand_duc,pl_jagiellonian_dyn,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Grand Duchy of Tuscany,Kingdom of Italy,it_tuscany_grand_duc,it_italian_k,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
"Grand Principality of Moscow, Mongolian period","Grand Principality of Moscow, Rurikid Dynasty",ru_moskva_mongolian_period,ru_moskva_rurik_dyn,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
"Grand Principality of Moscow, Rurikid Dynasty","Russian Empire, Romanov Dynasty I",ru_moskva_rurik_dyn,ru_romanov_dyn_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
"Grand Principality, Kingdom and Serbian Empire",Ottoman Emirate,rs_serbia_k,tr_ottoman_emirate,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Great Ming,Early Qing,cn_ming_dyn,cn_qing_dyn_1,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Great Moravia,Principality of Hungary,cz_moravia_k,hu_hungary_principality,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Great Moravia,Duchy of Bohemia,cz_moravia_k,cz_bohemian_duc,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Great Yuan,Great Ming,cn_yuan_dyn,cn_ming_dyn,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Great Yuan,Late Mongols,cn_yuan_dyn,mn_mongol_late,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Great Zimbabwe,Mutapa,zi_great_zimbabwe,zi_mutapa,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Great Zimbabwe,Torwa-Rozvi,zi_great_zimbabwe,zi_torwa_rozvi,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Greco-Bactrian Kingdom,Tocharians,af_greco_bactrian_k,af_tocharian,population replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Greco-Bactrian Kingdom,Indo-Greek Kingdom,af_greco_bactrian_k,pk_indo_greek_k,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gupta Empire,Maukhari Dynasty,in_gupta_emp,in_maukhari_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gupta Empire,Magadha,in_gupta_emp,in_magadha_k,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gupta Empire,Vanga Dynasty,in_gupta_emp,in_vanga_k,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gurjar-Pratihara Dynasty,Chandela Kingdom,in_gurjara_pratihara_dyn,in_chandela_k,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gurjar-Pratihara Dynasty,Chauhana Dynasty,in_gurjara_pratihara_dyn,in_chauhana_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gurjar-Pratihara Dynasty,Chaulukya Dynasty,in_gurjara_pratihara_dyn,in_chaulukya_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Gurjar-Pratihara Dynasty,Paramara Dynasty,in_gurjara_pratihara_dyn,in_paramara_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Habesha,Zagwe,et_habesha,et_zagwe,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Habr Yunis,British Empire II,so_habr_yunis,gb_british_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hadiya Sultanate,Ethiopia Kingdom II,et_hadiya_sultanate,et_ethiopian_k_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hafsid Dynasty,,tn_hafsid_dyn,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hallstatt A-B1,Hallstatt B2-3,fr_hallstatt_a_b1,fr_hallstatt_b2_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hallstatt B2-3,Hallstatt C,fr_hallstatt_b2_3,fr_hallstatt_c,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hallstatt C,Hallstatt D,fr_hallstatt_c,fr_hallstatt_d,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hallstatt D,La Tene A-B1,fr_hallstatt_d,fr_la_tene_a_b1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Haribhunjaya,,th_haribhunjaya_k,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Harla Kingdom,Adal Sultanate,et_harla_k,so_adal_sultanate,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Harsha's Empire,Kannauj - Varman Dynasty,in_harsha_emp,in_kannauj_varman_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hatti - New Kingdom,Neo-Hittite Kingdoms,tr_hatti_new_k,tr_neo_hittite_k,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Hatti - Old Kingdom,Hatti - New Kingdom,tr_hatti_old_k,tr_hatti_new_k,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:48:18.685867+00:00
Haudenosaunee Confederacy - Early,Haudenosaunee Confederacy - Late,us_haudenosaunee_1,us_haudenosaunee_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Haudenosaunee Confederacy - Late,Antebellum US,us_haudenosaunee_2,us_antebellum,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Hausa bakwai,Sokoto Caliphate,ni_hausa_k,ni_sokoto_cal,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Hawaii I,Hawaii II,us_hawaii_1,us_hawaii_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Hawaii II,Hawaii III,us_hawaii_2,us_hawaii_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Hawaii III,Kingdom of Hawaii - Kamehameha Period,us_hawaii_3,us_kamehameha_k,territorial consolidation,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Heian,Kamakura Shogunate,jp_heian,jp_kamakura,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Hellenistic Crete,Late Roman Republic,gr_crete_hellenistic,it_roman_rep_3,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Hephthalite Empire,Sasanid Empire II,af_hephthalite_emp,ir_sassanid_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Hephthalite Empire,Western Turk Khaganate,af_hephthalite_emp,kg_western_turk_khaganate,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Himyar I,Axum I,ye_himyar_1,et_aksum_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
Himyar II,Axum II,ye_himyar_2,et_aksum_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:54:02.727283+00:00
